Integer,Entropy,PrimeDivisors,Cluster,ClusterName,UMAP1,UMAP2
3479,13.287712379549442,2,2,Composite Crest,15.122771,-0.046260633
3480,13.287712379549442,4,2,Composite Crest,15.123608,-0.07347019
3481,13.287712379549442,1,2,Composite Crest,15.118795,-0.10615438
3482,13.287712379549442,2,2,Composite Crest,15.117296,-0.13719587
3483,13.287712379549442,2,2,Composite Crest,15.115325,-0.1716463
3484,13.287712379549442,3,2,Composite Crest,15.103276,-0.21430776
3485,13.287712379549442,3,2,Composite Crest,15.119919,-0.24425316
3486,13.287712379549442,4,2,Composite Crest,15.12303,-0.29249457
3487,13.287712379549442,2,2,Composite Crest,15.135744,-0.3387611
3488,13.287712379549442,2,2,Composite Crest,15.115422,-0.41249904
3489,13.287712379549442,2,2,Composite Crest,15.140993,-0.42945713
3490,13.287712379549442,3,2,Composite Crest,15.151867,-0.4711765
3491,13.287712379549442,1,2,Composite Crest,15.171091,-0.5049084
3492,13.287712379549442,3,2,Composite Crest,15.173474,-0.56269
3493,13.287712379549442,2,2,Composite Crest,15.184165,-0.58284676
3494,13.287712379549442,2,2,Composite Crest,15.247733,-0.663824
3495,13.287712379549442,3,2,Composite Crest,15.221999,-0.6868582
3496,13.287712379549442,3,2,Composite Crest,15.23383,-0.7292632
3497,13.287712379549442,2,2,Composite Crest,15.244269,-0.76856345
3498,13.287712379549442,4,2,Composite Crest,15.260146,-0.809866
3499,13.287712379549442,1,2,Composite Crest,15.264472,-0.8523475
3500,13.287712379549442,3,2,Composite Crest,15.277086,-0.8975025
3501,13.287712379549442,2,2,Composite Crest,15.283807,-0.9294282
3502,13.287712379549442,3,2,Composite Crest,15.300366,-0.98027354
3503,13.287712379549442,2,2,Composite Crest,15.297323,-0.997659
3504,13.287712379549442,3,2,Composite Crest,15.318013,-1.0414741
3505,13.287712379549442,2,2,Composite Crest,15.3143635,-1.0605806
3506,13.287712379549442,2,2,Composite Crest,15.330112,-1.1011167
3507,13.287712379549442,3,2,Composite Crest,15.334878,-1.1316417
3508,13.287712379549442,2,2,Composite Crest,15.342319,-1.1566716
3509,13.287712379549442,2,2,Composite Crest,15.355763,-1.1987859
3510,13.287712379549442,4,2,Composite Crest,15.358362,-1.2211151
